0.5505 1 1000
0.5515 0 1000
0.5525 0 1000
0.5535 0 1000
0.5545 1 1000
0.5555 0 1000
0.5565 1 1000
0.5575 4 1000
0.5585 3 1000
0.5595 6 1000
0.5605 4 1000
0.5615 6 1000
0.5625 6 1000
0.5635 6 1000
0.5645 14 1000
0.5655 9 1000
0.5665 13 1000
0.5675 20 1000
0.5685 19 1000
0.5695 23 1000
0.5705 42 1000
0.5715 31 1000
0.5725 52 1000
0.5735 51 1000
0.5745 62 1000
0.5755 71 1000
0.5765 100 1000
0.5775 93 1000
0.5785 122 1000
0.5795 128 1000
0.5805 131 1000
0.5815 166 1000
0.5825 192 1000
0.5835 221 1000
0.5845 210 1000
0.5855 261 1000
0.5865 297 1000
0.5875 326 1000
0.5885 362 1000
0.5895 394 1000
0.5905 431 1000
0.5915 465 1000
0.5925 501 1000
0.5935 531 1000
0.5945 519 1000
0.5955 602 1000
0.5965 605 1000
0.5975 660 1000
0.5985 674 1000
0.5995 725 1000
0.6005 737 1000
0.6015 779 1000
0.6025 795 1000
0.6035 823 1000
0.6045 829 1000
0.6055 860 1000
0.6065 881 1000
0.6075 894 1000
0.6085 895 1000
0.6095 915 1000
0.6105 928 1000
0.6115 949 1000
0.6125 953 1000
0.6135 967 1000
0.6145 966 1000
0.6155 982 1000
0.6165 977 1000
0.6175 979 1000
0.6185 989 1000
0.6195 988 1000
0.6205 988 1000
0.6215 993 1000
0.6225 994 1000
0.6235 997 1000
0.6245 1000 1000
0.6255 996 1000
0.6265 997 1000
0.6275 998 1000
0.6285 998 1000
0.6295 998 1000
0.6305 1000 1000
0.6315 999 1000
0.6325 1000 1000
0.6335 1000 1000
0.6345 1000 1000
0.6355 1000 1000
0.6365 1000 1000
0.6375 1000 1000
0.6385 1000 1000
0.6395 1000 1000
0.6405 1000 1000
0.6415 1000 1000
0.6425 1000 1000
0.6435 1000 1000
0.6445 1000 1000
0.6455 1000 1000
0.6465 1000 1000
0.6475 1000 1000
0.6485 1000 1000
0.6495 1000 1000
